# Time-averaged data for fix fix_eqn_baro
# TimeStep c_C_press_baro c_C_press_baro[1] c_C_press_baro[2] c_C_press_baro[3] c_C_press_baro[4] c_C_press_baro[5] c_C_press_baro[6] c_C_temp_tran
22600 -1458.09 -4506.11 -26.9645 158.799 -636.979 25.0192 -349.678 0.999472
22700 -1403.02 -4227.83 126.53 -107.762 -260.463 -282.448 -227.148 1.01088
22800 -2074.16 -5406.54 2.69198 -818.634 457.538 544.472 3.34588 0.989225
22900 -1689.72 -5512.21 319.278 123.782 202.624 -168.394 160.89 0.989341
23000 -1785.93 -5531.47 40.2375 133.439 -725.247 -56.9841 -337.297 0.997855
23100 -1817.28 -5049.12 129.128 -531.852 115.652 -151.584 -299.717 0.996572
23200 -2040.6 -5266.36 -627.522 -227.933 35.7102 704.146 543.56 0.97626
23300 -1544.59 -4481.31 252.046 -404.511 -11.7165 -380.525 177.578 1.00556
23400 -1296.1 -4080.09 279.368 -87.565 -268.85 322.418 -40.5228 1.00363
23500 -1725.4 -4969.14 -45.2938 -161.76 23.5418 -17.3847 -57.3433 0.984239
23600 -1841.09 -5209 -130.69 -183.575 -236.16 444.363 237.024 1.00243
23700 -1794.23 -4944.93 -439.583 1.8322 11.8487 -60.0529 -480.448 0.991363
23800 -1737.57 -5032.44 -251.482 71.2172 -402.794 294.148 521.966 0.992635
23900 -1661.26 -4748.39 -345.752 110.364 -20.4831 -281.462 8.91506 0.989487
24000 -1514.54 -5374.05 120.268 710.172 48.5308 266.291 -140.374 1.01122
24100 -1611.26 -4791.19 2.30024 -44.9006 196.224 -150.273 43.9588 1.00689
24200 -1699.42 -4950.3 -166.295 18.3225 700.745 -491.085 -48.3292 1.00847
24300 -1928.35 -5297.17 317.326 -805.196 -474.352 37.3402 -402.042 1.00246
24400 -1849.05 -5464.78 162.696 -245.063 -162.895 73.4413 -220.982 0.990365
24500 -1972.2 -5051.12 -1134.61 269.119 -51.2595 238.929 -547.356 0.995133
24600 -1300.43 -4394.57 580.242 -86.9637 -241.412 -36.787 -26.3788 1.03665
24700 -1938.29 -5464.62 -538.332 188.077 -304.869 -568.606 263.036 0.99615
24800 -1982.38 -5471.51 -54.5949 -421.028 -91.4782 451.08 -135.098 1.00385
24900 -2207.68 -5523.67 -824.593 -274.775 105.12 -31.5707 -277.146 0.984351
25000 -1860.54 -5156.24 300.262 -725.66 219.953 76.4903 -63.0206 0.996476
25100 -1215.37 -4312.3 544.582 121.611 -451.135 609.231 -363.6 1.00693
25200 -1456.89 -4423.66 -59.4555 112.448 428.4 -523.153 -439.327 0.994906
25300 -1487.52 -4543.19 260.955 -180.318 -283.262 93.8015 -84.8438 0.989715
25400 -1323.36 -4549.19 123.198 455.896 257.485 158.747 -300.674 1.00323
25500 -1298.93 -4501.18 285.825 318.565 265.178 -45.5484 -174.397 0.996771
25600 -1485.7 -4718.01 71.404 189.506 -424.599 -479.802 158.477 0.997849
25700 -1619.94 -4541.61 367.706 -685.913 362.242 748.96 162.757 1.01171
25800 -1663.15 -4665.87 -436.283 112.705 -190.359 -971.08 140.519 1.02776
25900 -1625 -4590.09 113.665 -398.562 54.6921 -368.545 -125.545 0.999626
26000 -1458.24 -4998.11 231.777 391.609 -263.197 902.788 509.574 1.01459
26100 -1224.81 -4236.14 926.79 -365.076 15.9827 -244.231 -175.74 1.02232
26200 -1483.26 -4958.08 -6.36309 514.659 -268.178 -339.565 -171.187 0.995019
26300 -1301.2 -3929.48 315.962 -290.074 -103.614 -219.674 750.943 1.01051
26400 -1485.6 -4803.65 430.412 -83.5474 569.388 29.3358 -249.918 0.989087
26500 -1520.87 -4798.1 -89.9868 325.464 71.4886 -849.271 -285.49 1.01268
26600 -1692.96 -4958.63 362.486 -482.743 -40.832 288.249 136.126 0.998289
26700 -1734.52 -4832.51 -180.697 -190.367 484.871 -11.2138 137.155 1.00316
26800 -1841.54 -4974.7 -795.907 245.984 421.145 -870.041 -942.219 0.994861
26900 -1962.32 -5009 -585.15 -292.821 86.7605 6.5336 -148.665 1.00171
27000 -1726.79 -5192.4 173.69 -161.657 -181.742 465.461 -57.6542 1.01457
27100 -1536 -4824.69 171.82 44.8635 -35.4773 -52.4495 -222.927 0.988791
27200 -1794.85 -4825.61 -430.469 -128.462 274.087 151.807 357.144 0.994606
27300 -2046.47 -5466.84 -252.438 -420.137 98.5628 84.1229 87.714 0.994898
27400 -1859.72 -5477.47 273.855 -375.538 -142.64 -499.46 -118.878 0.98866
27500 -2246.45 -6168.64 -269.749 -300.948 -750.487 -13.4273 -32.9104 0.996955
27600 -1818.41 -5037.3 -198.799 -219.138 892.565 -72.8414 340.116 0.994734
27700 -1690.69 -5458.05 162.353 223.62 -6.93092 2.44448 86.4153 1.00651
27800 -1348.35 -4181.26 279.155 -142.96 -839.104 -128.046 -115.102 1.01606
27900 -1583.72 -5087.22 114.729 221.325 594.648 27.9498 176.048 1.00933
28000 -1385.79 -4114.32 57.4036 -100.44 -28.0979 -243.008 18.5865 0.996298
28100 -1440.61 -4351.65 87.2927 -57.4811 -291.429 -35.2061 -122.918 1.01333
28200 -1598.7 -5289.28 69.3823 423.804 60.1189 93.0534 563.877 0.99858
28300 -1395.4 -4960.97 660.1 114.673 -6.17169 493.58 -608.523 1.01372
28400 -1354.95 -3995.97 255.581 -324.47 -215.163 -1042.18 828.234 1.03219
28500 -1263.13 -4680.95 497.535 394.01 542.026 47.6116 47.9281 1.0095
28600 -1532.62 -4333.71 -126.985 -137.157 -451.496 -211.26 -228.387 1.00022
28700 -1306.15 -4140.81 -150.252 372.608 269.291 87.1652 -376.994 1.00713
28800 -1545.08 -4262.91 -232.937 -139.389 -30.2083 -225.087 -47.6875 1.00087
28900 -1828.85 -4877.53 -707.345 98.3386 -206.497 -142.511 131.272 0.998368
29000 -1672.12 -4482.66 -757.924 224.224 743.6 438.767 -393.615 0.984717
29100 -2066.28 -5361.11 -329.559 -508.162 -391.918 -36.6857 -220.471 0.996528
29200 -1977.75 -5209.46 -93.7979 -629.989 394.776 195.105 64.4773 0.989518
29300 -2113.78 -5520.16 -443.839 -377.339 270.034 58.6709 -302.842 0.994902
29400 -1871.98 -5265.07 11.1594 -362.047 -70.1222 203.187 -26.7541 0.975609
29500 -1418.28 -4754.71 271.691 228.188 475.229 -289.319 10.5234 0.998688
29600 -1199.45 -4429.16 357.161 473.654 66.8322 238.697 -344.879 1.01153
29700 -1621.45 -4559.72 140.507 -445.137 -32.1894 537.422 607.169 0.995884
29800 -1452.47 -4655.08 -111.489 409.155 -346.078 -8.95076 -75.4291 1.01613
29900 -1295.25 -4186.85 129.605 171.478 -617.331 -27.4073 141.166 0.976321
30000 -1794.57 -4647.32 -895.122 158.743 -472.376 446.579 -168.283 0.996659
30100 -1722.93 -5041.26 55.3316 -182.855 860.746 -580.741 436.304 0.994993
